date,game,earnings,players,tournaments,year,month,release_year,genre,total_earnings,offline_earnings,percent_offline,total_players,total_tournaments
2001-10-01,StarCraft: Brood War,13057.6,4,1,2001,10,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2001-11-01,Age of Empires II,95000.0,16,1,2001,11,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-11-01,Counter-Strike,5239.51,5,1,2001,11,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-11-01,Quake III Arena,2619.76,8,1,2001,11,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-12-01,Counter-Strike,220000.0,109,2,2001,12,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-12-01,Age of Empires II,61000.0,20,5,2001,12,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-12-01,StarCraft: Brood War,59568.55,24,3,2001,12,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2001-12-01,FIFA 2001,46000.0,9,2,2001,12,2000,Sports,46000.0,46000.0,1.0,9,2
2001-12-01,Quake III Arena,46000.0,8,2,2001,12,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-12-01,Unreal Tournament,46000.0,9,2,2001,12,1999,First-Person Shooter,89000.0,89000.0,1.0,14,5
2001-12-01,Aliens versus Predator 2,40000.0,1,1,2001,12,2001,First-Person Shooter,43500.0,43500.0,1.0,2,2
2002-01-01,Age of Empires II,1000.0,1,1,2002,1,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-02-01,Age of Empires II,1000.0,1,1,2002,2,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-03-01,Counter-Strike,1035.0,17,1,2002,3,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-03-01,Age of Empires II,1000.0,1,1,2002,3,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-04-01,StarCraft: Brood War,20338.4,6,2,2002,4,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2002-04-01,Age of Empires II,5500.0,4,2,2002,4,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-04-01,Super Smash Bros. Melee,0.0,3,1,2002,4,2001,Fighting Game,4221849.29,4040278.51,0.956992595536256,2012,2746
2002-05-01,Counter-Strike,18411.62,42,1,2002,5,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-05-01,Quake III Arena,11785.22,17,2,2002,5,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2002-05-01,StarCraft: Brood War,4913.16,1,1,2002,5,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2002-05-01,Aliens versus Predator 2,3500.0,1,1,2002,5,2001,First-Person Shooter,43500.0,43500.0,1.0,2,2
2002-05-01,Age of Empires II,2000.0,4,2,2002,5,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-06-01,StarCraft: Brood War,28808.28,19,2,2002,6,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2002-06-01,Age of Empires II,3932.57,4,2,2002,6,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-06-01,Super Smash Bros. Melee,40.0,3,1,2002,6,2001,Fighting Game,4221849.29,4040278.51,0.956992595536256,2012,2746
2002-07-01,Counter-Strike,112100.15,169,3,2002,7,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-07-01,Age of Empires II,16450.0,9,4,2002,7,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-07-01,Quake III Arena,9540.3,12,1,2002,7,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2002-07-01,StarCraft: Brood War,2000.0,3,1,2002,7,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2002-08-01,Return to Castle Wolfenstein,53000.0,30,1,2002,8,2001,First-Person Shooter,113424.3,113424.3,1.0,50,3
2002-08-01,Quake III Arena,40000.0,5,1,2002,8,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2002-08-01,Age of Empires II,8850.0,14,8,2002,8,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-08-01,Capcom vs. SNK 2,0.0,3,1,2002,8,2001,Fighting Game,25966.79,25966.79,1.0,39,24
2002-08-01,Marvel vs. Capcom 2,0.0,3,1,2002,8,2000,Fighting Game,39279.73,39269.73,0.999745415765332,68,29
2002-08-01,Super Street Fighter II Turbo,0.0,3,1,2002,8,1994,Fighting Game,28227.29,28227.29,1.0,126,55
2002-09-01,WarCraft III,31932.4,16,1,2002,9,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2002-09-01,Counter-Strike,31856.64,21,2,2002,9,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-09-01,Age of Empires II,6618.95,11,5,2002,9,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-09-01,Quake III Arena,6000.0,3,1,2002,9,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2002-09-01,Age of Empires,100.0,3,1,2002,9,1997,Strategy,736284.75,522378.17,0.70947845925099,624,341
2002-10-01,StarCraft: Brood War,45800.51,18,3,2002,10,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2002-10-01,Counter-Strike,9791.02,40,1,2002,10,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-10-01,Age of Empires II,1000.0,1,1,2002,10,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-10-01,WarCraft III,642.0,3,1,2002,10,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2002-11-01,Counter-Strike,86000.0,55,2,2002,11,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-11-01,Age of Empires II,44000.0,9,2,2002,11,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-11-01,FIFA 2002 World Cup,43000.0,8,1,2002,11,2002,Sports,43000.0,43000.0,1.0,8,1
2002-11-01,Quake III Arena,43000.0,8,1,2002,11,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2002-11-01,StarCraft: Brood War,43000.0,8,1,2002,11,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2002-11-01,Unreal Tournament,43000.0,8,1,2002,11,1999,First-Person Shooter,89000.0,89000.0,1.0,14,5
2002-11-01,Halo: Combat Evolved,5000.0,21,2,2002,11,2001,First-Person Shooter,299281.0,299281.0,1.0,118,39
2002-11-01,Unreal Tournament 2003,4000.0,8,4,2002,11,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2002-11-01,WarCraft III,106.0,1,1,2002,11,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2002-12-01,Counter-Strike,141800.45,145,4,2002,12,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2002-12-01,WarCraft III,43808.35,31,5,2002,12,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2002-12-01,Unreal Tournament 2003,30000.0,16,1,2002,12,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2002-12-01,Return to Castle Wolfenstein,14424.3,0,1,2002,12,2001,First-Person Shooter,113424.3,113424.3,1.0,50,3
2002-12-01,NASCAR Thunder 2002,7679.25,0,1,2002,12,2001,Racing,7679.25,7679.25,1.0,0,1
2002-12-01,Star Wars Jedi Knight II: Jedi Outcast,7679.25,0,1,2002,12,2002,First-Person Shooter,7679.25,7679.25,1.0,0,1
2002-12-01,Age of Empires II,5950.0,13,2,2002,12,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2002-12-01,Quake III Arena,553.06,3,1,2002,12,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2002-12-01,StarCraft: Brood War,553.06,3,1,2002,12,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-01-01,Age of Empires II,10500.0,16,3,2003,1,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-01-01,WarCraft III,9185.0,16,1,2003,1,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-01-01,StarCraft: Brood War,6051.2,6,1,2003,1,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-01-01,Super Smash Bros. Melee,2050.0,7,2,2003,1,2001,Fighting Game,4221849.29,4040278.51,0.956992595536256,2012,2746
2003-01-01,Counter-Strike,1280.0,30,2,2003,1,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-02-01,StarCraft: Brood War,29137.55,16,1,2003,2,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-02-01,Counter-Strike,2666.67,32,3,2003,2,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-02-01,Age of Empires II,380.0,4,2,2003,2,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-03-01,Counter-Strike,22817.54,65,4,2003,3,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-03-01,Halo: Combat Evolved,12500.0,0,1,2003,3,2001,First-Person Shooter,299281.0,299281.0,1.0,118,39
2003-03-01,Super Smash Bros. Melee,12500.0,3,1,2003,3,2001,Fighting Game,4221849.29,4040278.51,0.956992595536256,2012,2746
2003-03-01,Tekken 4,12500.0,0,1,2003,3,2001,Fighting Game,12500.0,12500.0,1.0,4,4
2003-03-01,Unreal Tournament 2003,12500.0,0,1,2003,3,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2003-03-01,WarCraft III,8081.27,6,1,2003,3,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-04-01,Counter-Strike,51906.6,40,3,2003,4,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-04-01,WarCraft III,16000.63,5,2,2003,4,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-04-01,Unreal Tournament 2003,15199.05,0,1,2003,4,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2003-04-01,Halo: Combat Evolved,14950.0,32,5,2003,4,2001,First-Person Shooter,299281.0,299281.0,1.0,118,39
2003-04-01,Quake III Arena,8663.46,3,2,2003,4,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2003-04-01,StarCraft: Brood War,7265.55,2,2,2003,4,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-04-01,Age of Mythology,2434.22,6,2,2003,4,2002,Strategy,188619.58,86723.77,0.459781375825352,236,298
2003-04-01,Age of Empires II,1980.0,5,3,2003,4,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-05-01,Counter-Strike,20355.3,52,6,2003,5,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-05-01,Age of Empires II,760.0,6,4,2003,5,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-05-01,Age of Empires,625.0,4,1,2003,5,1997,Strategy,736284.75,522378.17,0.70947845925099,624,341
2003-06-01,Counter-Strike,60804.35,63,5,2003,6,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-06-01,StarCraft: Brood War,44018.0,40,2,2003,6,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-06-01,WarCraft III,27887.45,4,1,2003,6,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-06-01,Age of Mythology,18445.97,3,2,2003,6,2002,Strategy,188619.58,86723.77,0.459781375825352,236,298
2003-06-01,NASCAR Thunder 2003,5933.5,0,1,2003,6,2002,Racing,5933.5,5933.5,1.0,0,1
2003-06-01,Age of Empires II,380.0,4,2,2003,6,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-07-01,Counter-Strike,135189.2,127,6,2003,7,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-07-01,StarCraft: Brood War,46020.6,28,3,2003,7,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-07-01,Unreal Tournament 2003,25617.5,9,3,2003,7,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2003-07-01,WarCraft III,24062.0,21,6,2003,7,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-07-01,Quake III Arena,10000.0,4,1,2003,7,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2003-07-01,Age of Mythology,2200.0,5,2,2003,7,2002,Strategy,188619.58,86723.77,0.459781375825352,236,298
2003-07-01,Age of Empires II,200.0,1,1,2003,7,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-08-01,Counter-Strike,218835.22,126,5,2003,8,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-08-01,Quake III Arena,70800.0,23,3,2003,8,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2003-08-01,Return to Castle Wolfenstein,46000.0,24,1,2003,8,2001,First-Person Shooter,113424.3,113424.3,1.0,50,3
2003-08-01,Age of Mythology,12951.0,14,3,2003,8,2002,Strategy,188619.58,86723.77,0.459781375825352,236,298
2003-08-01,WarCraft III,12832.68,9,4,2003,8,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-08-01,Unreal Tournament 2003,9457.36,3,1,2003,8,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2003-08-01,Age of Empires II,7000.0,8,1,2003,8,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-08-01,FIFA 03,5066.44,3,1,2003,8,2002,Sports,54066.44,54066.44,1.0,10,3
2003-08-01,Super Smash Bros. Melee,1000.0,1,1,2003,8,2001,Fighting Game,4221849.29,4040278.51,0.956992595536256,2012,2746
2003-08-01,Capcom vs. SNK 2,0.0,3,1,2003,8,2001,Fighting Game,25966.79,25966.79,1.0,39,24
2003-08-01,Guilty Gear XX,0.0,3,1,2003,8,2002,Fighting Game,0.0,0.0,,5,2
2003-08-01,Marvel vs. Capcom 2,0.0,3,1,2003,8,2000,Fighting Game,39279.73,39269.73,0.999745415765332,68,29
2003-08-01,Soul Calibur II,0.0,3,1,2003,8,2003,Fighting Game,4980.0,4980.0,1.0,17,8
2003-08-01,Street Fighter III: 3rd Strike,0.0,3,1,2003,8,1999,Fighting Game,113008.54,111311.32,0.984981489009592,179,57
2003-08-01,Super Street Fighter II Turbo,0.0,3,1,2003,8,1994,Fighting Game,28227.29,28227.29,1.0,126,55
2003-08-01,Tekken 4,0.0,3,1,2003,8,2001,Fighting Game,12500.0,12500.0,1.0,4,4
2003-08-01,Tekken Tag Tournament,0.0,3,1,2003,8,1999,Fighting Game,0.0,0.0,,7,4
2003-08-01,Virtua Fighter 4: Evolution,0.0,3,1,2003,8,2002,Fighting Game,0.0,0.0,,6,3
2003-09-01,Counter-Strike,52342.44,51,5,2003,9,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-09-01,WarCraft III,18413.13,23,8,2003,9,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-09-01,StarCraft: Brood War,2329.2,4,1,2003,9,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-09-01,Day of Defeat,880.41,6,1,2003,9,2003,First-Person Shooter,51180.41,51180.41,1.0,43,4
2003-10-01,Counter-Strike,91213.18,90,7,2003,10,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2003-10-01,StarCraft: Brood War,90848.8,58,3,2003,10,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-10-01,WarCraft III,52623.23,17,7,2003,10,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-10-01,Age of Mythology,51661.98,13,3,2003,10,2002,Strategy,188619.58,86723.77,0.459781375825352,236,298
2003-10-01,FIFA 03,49000.0,7,2,2003,10,2002,Sports,54066.44,54066.44,1.0,10,3
2003-10-01,Unreal Tournament 2003,49000.0,8,2,2003,10,2002,First-Person Shooter,147473.91,147473.91,1.0,33,14
2003-10-01,Halo: Combat Evolved,40700.0,14,3,2003,10,2001,First-Person Shooter,299281.0,299281.0,1.0,118,39
2003-10-01,Gran Turismo 3: A-Spec,1500.0,3,1,2003,10,2001,Racing,3250.0,3250.0,1.0,4,2
2003-10-01,Madden NFL 2004,1500.0,3,1,2003,10,2003,Sports,1500.0,1500.0,1.0,3,1
2003-10-01,Soul Calibur II,1500.0,3,1,2003,10,2003,Fighting Game,4980.0,4980.0,1.0,17,8
2003-10-01,Age of Empires II,1000.0,4,1,2003,10,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2003-11-01,StarCraft: Brood War,73973.75,27,3,2003,11,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2003-11-01,WarCraft III,68967.94,47,10,2003,11,2002,Strategy,6307153.73,5368595.62,0.851191496167955,768,1550
2003-11-01,Counter-Strike,51610.64,124,12,2003,11,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
